# pi_control,v0.2.0
# log for:, strain
# date:, 2018_07_25_15_39_04
# meta:, 
# comment:,
time (s), strain (%)
0.6680166810001538,-0.3000241670013023
1.0315645290002067,-0.30003222137057994
1.2842632380002215,-0.30001611198316547
1.842323333999957,-0.29999194303481463
2.2845425959999375,-0.3634313864414974
3.040460947000156,-0.3000080563160908
3.3583912039998722,-0.30003222137057994
3.8187307190000865,-0.3589501323633859
4.18073298499985,-0.3000241670013023
4.601807600000029,-0.3
5.105430004000027,-0.3548979042382848
5.670332426000186,-0.30001611198316547
6.2974605469999005,-0.3000241670013023
6.5351953710001,-0.352154115618297
7.299140166000143,-0.3000241670013023
7.8938579030000255,-0.35002833021960267
8.629375824999897,-0.3000241670013023
9.113257025000166,-0.3000080563160908
9.847037749000265,-0.3000402750910766
10.351126298000054,-0.3000483281628708
10.762700337000297,-0.30003222137057994
11.052297469000223,-0.30003222137057994
11.846743674000209,-0.30003222137057994
12.2952739010002,-0.30001611198316547
12.806427329000144,-0.3000402750910766
13.532651707000241,-0.3000080563160908
14.0254334199999,-0.3
14.793202707000091,-0.30003222137057994
15.277307758999996,-0.3000241670013023
15.901268353999967,-0.3400821453042675
16.708099775999926,-0.29999194303481463
16.991969166000217,-0.3000241670013023
17.378305254000225,-0.3456647371618853
18.042380958000194,-0.3000080563160908
18.837517991999903,-0.3000080563160908
19.356472186000246,-0.30001611198316547
19.752191863999997,-0.3000080563160908
20.146052157000213,-0.30003222137057994
20.880837979000262,-0.3000080563160908
21.30600713700005,-0.29999194303481463
21.57134319700026,-0.3000241670013023
22.37588798500019,-0.36196193674547295
22.71972649700001,-0.3629904442859305
23.002921245999914,-0.29999194303481463
23.75378126600026,-0.30003222137057994
24.127152644000034,-0.36690214415576605
24.65271489099996,-0.3682758071764922
25.404876998999953,-0.3000241670013023
25.63500490000024,-0.29997582715684634
26.11142375700001,-0.3
26.414447621999898,-0.3000080563160908
27.009666906999882,-0.30001611198316547
27.81620336600008,-0.3753090826343696
28.09174322800027,-0.37493530741762476
28.78892680800027,-0.3000080563160908
29.274716234000152,-0.3000402750910766
29.779966337000133,-0.30001611198316547
30.505050064999978,-0.30001611198316547
31.108186681000007,-0.36733603238866397
31.737573437000265,-0.3655578030057481
32.429586465000284,-0.3
32.69520351200026,-0.30001611198316547
33.160339856000064,-0.3000080563160908
33.789083742,-0.3596677558746568
34.15687503300023,-0.35849989506675567
34.86240849600017,-0.30001611198316547
35.33556498600001,-0.3000241670013023
35.80553963500006,-0.3000080563160908
36.261447073,-0.30001611198316547
36.852118774000246,-0.30001611198316547
37.08468986100024,-0.3
37.852065994999975,-0.3000402750910766
38.33335981800019,-0.29997582715684634
38.57823138799995,-0.3000080563160908
39.30991696499996,-0.30003222137057994
39.7277580519999,-0.3000402750910766
40.17351027699988,-0.30006443236066505
40.912883341999986,-0.3000241670013023
41.523568479000005,-0.3000241670013023
41.8432095080002,-0.30003222137057994
42.57687665499998,-0.3000241670013023
43.38177043199994,-0.30003222137057994
44.140626513999905,-0.30001611198316547
44.420723634000296,-0.30001611198316547
45.06650395499992,-0.30001611198316547
45.334530748999896,-0.30003222137057994
46.04018888900009,-0.3000080563160908
46.49358011000004,-0.30001611198316547
46.73225888300021,-0.3000402750910766
47.30827695500011,-0.30003222137057994
47.78155578099995,-0.30001611198316547
48.55181639800003,-0.35029964740377156
49.36326166100025,-0.30003222137057994
49.81169670700001,-0.3000241670013023
50.6153965110002,-0.3
50.872338244000275,-0.3000080563160908
51.104068177000045,-0.30001611198316547
51.66269219500009,-0.3
52.1075007620002,-0.3000080563160908
52.530609422,-0.3000080563160908
53.32199639600003,-0.3000241670013023
54.06131543599986,-0.29999194303481463
54.55427134199999,-0.3000241670013023
54.954462378000244,-0.29999194303481463
55.25295167500008,-0.3000080563160908
56.013388117999966,-0.29999194303481463
56.35010579500022,-0.29999194303481463
56.74761113900013,-0.3000080563160908
56.98885903600012,-0.3000080563160908
57.240381937000166,-0.3000080563160908
57.781451950000246,-0.29997582715684634
58.125896022000234,-0.30001611198316547
58.693600291000166,-0.3000080563160908
58.96103114000016,-0.3000241670013023
59.27772792799988,-0.3
59.546984879999854,-0.3000241670013023
59.882499841000026,-0.30001611198316547
60.42598179200013,-0.36873204319408015
60.71544400699986,-0.30001611198316547
61.49276365900005,-0.3000241670013023
62.308316169000136,-0.36361146582711357
62.89733554800023,-0.3618390151307529
63.56915593900021,-0.30003222137057994
63.987745610000275,-0.3585966162957388
64.57877254999994,-0.3000402750910766
