# pi_control,v0.2.0
# log for:, actuator.position
# date:, 2018_07_25_15_39_04
# meta:, 
# comment:,
time (s), position (raw)
0.01020807600025364,13055
0.01077854799996203,13055
0.02130761500029621,13032
0.03222225800027445,13033
0.04196085200010202,13029
0.051533298999856925,13026
0.06157621800002744,13032
0.07176773199989839,13030
0.08151017999989563,13027
0.09159783899985996,13031
0.10169534099986777,13028
0.11144898800012015,13031
0.12148190600009912,13031
0.13161659600018538,13026
0.14135571199994956,13025
0.15154831900008503,13019
0.16170316500029003,13018
0.1714811350002492,13016
0.1816522829999485,13010
0.19184994299985192,13005
0.201611714000137,13001
0.2117601539998759,13001
0.22179109399985464,12997
0.23158567800010132,12994
0.24221459000000323,12987
0.2522406329999285,12982
0.2620328220000374,12983
0.2726761600001737,12980
0.28273902699993414,12969
0.29265975799989974,12966
0.30336288900025465,12957
0.31343351600025926,12955
0.3232122670001445,12949
0.3338006570002108,12939
0.3438415969999369,12938
0.3534924300001876,12937
0.36346347400012746,12926
0.37353488200005813,12925
0.3831855070002348,12917
0.39300561200025186,12910
0.40293639499986966,12907
0.41254144699996687,12900
0.4221976449998692,12893
0.432132699000249,12888
0.4417707719999271,12885
0.45129233399984514,12882
0.4612150430002657,12878
0.4708669709998503,12866
0.4803925950000121,12865
0.4902972840000075,12858
0.5001833270002862,12850
0.509811400000217,12853
0.5199135900002148,12843
0.5298158310001782,12843
0.5395016120000946,12832
0.5497696880001968,12830
0.5606945389999964,12826
0.5705288110002584,12814
0.5807575120002184,12814
0.5907831909999004,12801
0.60064256700025,12793
0.6108885080002437,12786
0.6209032500000831,12778
0.6306273119998878,12777
0.6409861699999055,12766
0.6512809139999263,12761
0.6685918920002223,12748
0.6787906449999355,12737
0.6887025740002173,12723
0.6994829969999046,12719
0.7099446160000298,12715
0.7197850329998801,12710
0.7305380080001669,12701
0.7410622840002361,12686
0.7509126489999289,12677
0.7610551520001536,12672
0.7718763040002159,12666
0.7778665969999565,12666
0.7815985440001896,12661
0.7917845370002397,12656
0.802624231000209,12653
0.8126674099999036,12644
0.8232974669999749,12639
0.8335674190002464,12632
0.8434196590001193,12624
0.8539276330002394,12616
0.8641937820002568,12605
0.8740415430002031,12602
0.8845374329998776,12596
0.8948955099999694,12583
0.9047800950002056,12580
0.915284475000135,12566
0.9255277590000333,12556
0.9353456250000818,12544
0.9458400040002743,12539
0.9560962049999944,12532
0.9659159980001277,12527
0.9778472600000896,12520
0.9880633050001961,12507
0.9979709630001707,12502
1.008274455999981,12492
1.01825711399988,12481
1.0299258750001172,12475
1.04011244000003,12469
1.0499767639998936,12465
1.0596485870000834,12461
1.0697755169999255,12450
1.0798615610001434,12443
1.0895600510002623,12431
1.0999335440001232,12429
1.1102901110002676,12419
1.1201547989999199,12417
1.1304729280000174,12409
1.14073902500013,12407
1.1412016839999524,12407
1.1509231949999048,12390
1.1611891880002077,12381
1.171443669999917,12374
1.1811829419998503,12368
1.1915057579999484,12356
1.201593573000082,12344
1.211406906999855,12335
