# pi_control,v0.2.0
# log for:, thermocouple
# date:, 2018_07_25_15_39_04
# meta:, fluid
# comment:,
time (s), temperature (C), internal temperature (C)
0.6618890439999632,-199.953125,26.390625
1.0260314269999071,-199.953125,26.421875
1.2768961149999996,-199.953125,26.453125
1.836597729999994,-199.953125,26.453125
2.2783603230000153,-199.953125,26.421875
3.034885031000158,-199.953125,26.421875
3.352061742999922,-199.953125,26.46875
3.8128713649998645,-199.953125,26.46875
4.174675191999995,-199.953125,26.5
4.594393706000119,-199.953125,26.421875
5.100039297999956,-199.953125,26.46875
5.659441116999915,-199.953125,26.453125
6.2870215329999155,-199.953125,26.453125
6.517422671000077,-199.953125,26.46875
7.284159669000019,-199.953125,26.453125
7.884038318999956,-199.953125,26.375
8.61978020000015,-199.953125,26.453125
9.103822548000153,-199.953125,26.453125
9.837778011999944,-199.953125,26.421875
10.33988212300028,-199.953125,26.453125
10.753305233999981,-199.953125,26.453125
11.042089758000202,-199.953125,26.453125
11.836946069000078,-199.953125,26.46875
12.286077706000015,-199.953125,26.421875
12.795356384000115,-199.953125,26.453125
13.522309932000098,-199.953125,26.421875
14.014159662000111,-199.953125,26.453125
14.782555306000177,-199.953125,26.453125
15.26680160900014,-199.953125,26.453125
15.890442619000169,-199.953125,26.421875
16.69843758800016,-199.953125,26.453125
16.980327020999994,-199.953125,26.46875
17.368877755000085,-199.953125,26.421875
18.032662885000263,-199.953125,26.453125
18.82735908299992,-199.953125,26.46875
19.346763593000105,-199.953125,26.453125
19.742176081000252,-199.953125,26.46875
20.126889709999887,-199.953125,26.453125
20.870181931999923,-199.953125,26.453125
21.295920885000214,-199.953125,26.453125
21.560783453000113,-199.953125,26.5
22.370566342000075,-199.953125,26.453125
22.714216467999904,-199.953125,26.46875
22.996435690999988,-199.953125,26.421875
23.748303320000105,-199.953125,26.453125
24.12180964700019,-199.953125,26.46875
24.647071474999848,-199.953125,26.453125
25.399486031999913,-199.953125,26.46875
25.62442890600005,-199.953125,26.5
26.102487094000026,-199.953125,26.421875
26.404780226000184,-199.953125,26.453125
26.999216537999928,-199.953125,26.453125
27.810853337000026,-199.953125,26.453125
28.086174761000166,-199.953125,26.46875
28.78353631100026,-199.953125,26.421875
29.269060683000134,-199.953125,26.453125
29.77461380900013,-199.953125,26.421875
30.49530292999998,-199.953125,26.453125
31.102530557000136,-199.953125,26.46875
31.732237366999925,-199.953125,26.453125
32.42419060300017,-199.953125,26.375
32.68870691500024,-199.953125,26.46875
33.15487165000013,-199.953125,26.5
33.783081158000186,-199.953125,26.5
34.15080843800024,-199.953125,26.421875
34.856203253999865,-199.953125,26.453125
35.33005792499989,-199.953125,26.5
35.795562810999854,-199.953125,26.5
36.25182582400021,-199.953125,26.46875
36.841800333000265,-199.953125,26.453125
37.074678401000256,-199.953125,26.5
37.84185057600007,-199.953125,26.453125
38.32410555000024,-199.953125,26.46875
38.56845133500019,-199.953125,26.46875
39.304503810999904,-199.953125,26.453125
39.721503122000286,-199.953125,26.46875
40.168054414999915,-199.953125,26.46875
40.90351360400018,-199.953125,26.46875
41.51406827200026,-199.953125,26.46875
41.83295455799998,-199.953125,26.46875
42.56531128100005,-199.953125,26.46875
43.372758457000145,-199.953125,26.515625
44.130602501999874,-199.953125,26.453125
44.41162056400026,-199.953125,26.46875
45.05692942399992,-199.953125,26.5
45.32502684400015,-199.953125,26.46875
46.031187746999876,-199.953125,26.5
46.48342364900009,-199.953125,26.515625
46.72132215800002,-199.953125,26.5
47.29957347100026,-199.953125,26.453125
47.776094032999936,-199.953125,26.46875
48.54626188900011,-199.953125,26.515625
49.35778934000018,-199.953125,26.5
49.80473771200013,-199.953125,26.46875
50.604762391999884,-199.953125,26.46875
50.862909860999935,-199.953125,26.453125
51.093897965999986,-199.953125,26.46875
51.653145372999916,-199.953125,26.5
52.09783487699997,-199.953125,26.46875
52.52057442000023,-199.953125,26.515625
53.3110534729999,-199.953125,26.453125
54.05046157700008,-199.953125,26.5
54.544559415000094,-199.953125,26.5
54.94519748499988,-199.953125,26.46875
55.24306729999989,-199.953125,26.515625
56.004001504999906,-199.953125,26.5
56.34081553700025,-199.953125,26.46875
56.73832890199992,-199.953125,26.453125
56.978426012,-199.953125,26.453125
57.23049599900014,-199.953125,26.46875
57.771981744000186,-199.953125,26.5
58.1159900319999,-199.953125,26.453125
58.6879552610003,-199.953125,26.5
58.95561027700023,-199.953125,26.46875
59.27236258699986,-199.953125,26.5
59.54154974699986,-199.953125,26.46875
59.87699428999986,-199.953125,26.515625
60.419561445,-199.953125,26.5
60.71001074900005,-199.953125,26.46875
61.48698586799992,-199.953125,26.46875
62.30294296300008,-199.953125,26.453125
62.89192228999991,-199.953125,26.46875
63.56369976399992,-199.953125,26.46875
63.982308184999965,-199.953125,26.5
64.57335403200022,-199.953125,26.453125
65.0612725599999,-199.953125,26.453125
65.46434652200014,-199.953125,26.515625
65.78498593299992,-199.953125,26.46875
66.09351746599987,-199.953125,26.5
66.79180716100018,-199.953125,26.5
67.4180931410001,-199.953125,26.5
68.16582481600017,-199.953125,26.5
68.97390983100013,-199.953125,26.5
69.79056280800023,-199.953125,26.5
70.16195326700017,-199.953125,26.515625
70.80413901500015,-199.953125,26.515625
71.58249459900026,-199.953125,26.46875
71.90891523500022,-199.953125,26.5
72.42728209699999,-199.953125,26.46875
73.2289376990002,-199.953125,26.515625
73.654799851,-199.953125,26.46875
73.94605644500007,-199.953125,26.5
74.61938646999988,-199.953125,26.5
74.86950852400014,-199.953125,26.5
75.10977375499988,-199.953125,26.515625
