# pi_control,v0.2.0
# log for:, actuator.speed
# date:, 2018_07_25_14_45_11
# meta:, 
# comment:,
time (s), speed (raw)
0.01046063299997968,0
0.7000410869999882,2048
1.3691040239999666,2048
1.9462386569999808,2048
2.725169598999969,2048
3.119813721000014,2048
3.9360935469999845,2048
4.422644305000006,1024
5.04411657899999,1024
5.350087243000019,1024
5.623704808000014,512
6.311451196999997,512
6.879209156000002,512
7.350441568999997,512
7.6043116700000155,512
8.046933068999977,512
8.304982236,256
9.008404836000011,256
9.528352600999995,128
9.810573610000006,128
10.113955417999989,128
10.48215785100001,128
10.993319670999995,64
11.317182172000003,64
11.740690638999979,64
12.109338750000006,32
12.664885033000019,32
13.188891185999978,16
13.666484593000007,16
13.967276555000012,8
14.766281366999976,8
15.105990235999968,8
15.450533378999978,4
15.759043836999979,2
16.264080338999975,1
16.506511524000018,2048
17.03614450499998,2048
17.794535483000004,2048
18.279453113999978,2048
18.944071048000012,2048
19.35188247100001,2048
19.59228428,2048
20.018249051999987,2048
20.333337588000006,2048
20.657758944000022,2048
21.221045128000014,2048
21.87726935699999,2048
22.501302205000002,2048
23.045754155999987,2048
23.297475556999984,2048
24.079261658000007,2048
24.57029939900002,2048
25.121641720000014,2048
25.37470577900001,2048
25.80129268600001,2048
26.572569559999977,2048
27.152152789000013,2048
27.920645077000017,2048
28.200701658000014,2048
28.686225122999986,2048
29.237246298000002,2048
30.020762348000005,2048
30.526745673999983,2048
30.80712371300001,2048
31.506951727,2048
32.29518017700002,2048
32.61860121899997,2048
33.300356041999976,2048
33.91220309900001,2048
34.469045892999986,2048
34.768368114,2048
35.38618528000001,2048
35.992680302,2048
36.34075948999998,2048
36.930683508000016,2048
37.33847081699997,2048
37.91389659499998,2048
38.59665199099999,1024
38.961753692,512
39.70977018299999,256
40.38875302299999,256
40.98426168200001,128
41.22701021199998,128
41.79188118899998,64
42.26002828600002,64
43.03045125299997,64
43.356555684,64
44.11745697599997,32
44.545673416,32
45.11364075,32
45.591384522,32
46.10597858400001,32
46.470211430000006,16
47.129373629999975,8
47.906428269,8
48.153210238999975,4
48.524712050000005,4
49.10471876899999,4
49.62484684599997,4
49.87641293500002,4
50.665922792,2
51.03911882299997,1
51.39429437000001,2048
51.875390228000015,2048
52.29793499699997,2048
52.63930032500002,4
53.20073416399998,1024
53.941056065,512
54.48135665799998,256
55.09658324999998,256
55.421425075,256
55.89139279799997,128
56.18950178900002,64
56.54232967899998,32
56.893531005,16
57.201447659999985,8
57.94550138599999,4
58.30445099999997,4
58.82813725599999,2
59.10132815399999,1
59.90059452999998,2048
60.699908300999994,2048
61.07104282,2048
61.69924067199997,2048
62.04369074199997,1024
62.83008320099998,1024
63.39579761699997,1024
63.82563535999998,1024
64.46662306600001,1024
64.93545880900001,512
65.646708864,512
65.958323855,256
66.26854598099999,128
66.75222913300001,64
67.28563758500002,64
67.741731131,64
68.46758052000001,32
69.239293175,32

