# pi_control,v0.2.0
# log for:, thermocouple
# date:, 2018_07_25_15_09_58
# meta:, sample
# comment:,
time (s), temperature (C), internal temperature (C)
0.12820322600009604,-199.953125,25.578125
0.8709626239999579,-199.953125,25.59375
1.3446056459999909,-199.953125,25.578125
1.823840662000066,-199.953125,25.578125
2.3738219980000395,-199.953125,25.578125
3.0113055799999984,-199.953125,25.59375
3.4758102010000584,-199.953125,25.546875
3.710513429999992,-199.953125,25.578125
4.136323168999979,-199.953125,25.546875
4.42199069000003,-199.953125,25.578125
4.647556033000001,-199.953125,25.59375
4.881675305000044,-199.953125,25.578125
5.553399817000127,-199.953125,25.59375
6.367287600000054,-199.953125,25.625
6.951174560000027,-199.953125,25.59375
7.369283873000086,-199.953125,25.546875
7.974579848000076,-199.953125,25.578125
8.700694719000012,-199.953125,25.578125
9.512008870000045,-199.953125,25.625
10.177134432000003,-199.953125,25.59375
10.661069335000093,-199.953125,25.59375
11.110753687999932,-199.953125,25.625
11.371985173999974,-199.953125,25.578125
11.911463139000034,-199.953125,25.59375
12.396373260000018,-199.953125,25.59375
12.848970230000077,-199.953125,25.59375
13.46735178400013,-199.953125,25.578125
13.919335735000004,-199.953125,25.578125
14.222531604000096,-199.953125,25.546875
14.880605713000023,-199.953125,25.65625
15.56886948500005,-199.953125,25.578125
16.273858721000124,-199.953125,25.625
16.672100667999985,-199.953125,25.578125
16.91474810900013,-199.953125,25.625
17.561006888000065,-199.953125,25.65625
18.054202780999958,-199.953125,25.578125
18.840147288000026,-199.953125,25.625
19.5591804820001,-199.953125,25.59375
20.319232536000072,-199.953125,25.578125
20.716675849000012,-199.953125,25.59375
21.298666981999986,-199.953125,25.578125
21.68752303500014,-199.953125,25.59375
22.077706646000024,-199.953125,25.625
22.643223054000146,-199.953125,25.59375
23.20276017900005,-199.953125,25.59375
23.537290732999963,-199.953125,25.65625
23.93465165900011,-199.953125,25.59375
24.45842661200004,-199.953125,25.578125
24.69655452300003,-199.953125,25.59375
25.40285057999995,-199.953125,25.59375
25.824054020999938,-199.953125,25.59375
26.38974164399997,-199.953125,25.59375
27.076710106000064,-199.953125,25.625
27.515387088000125,-199.953125,25.625
27.860053408000113,-199.953125,25.546875
28.10948135400008,-199.953125,25.625
28.7428942680001,-199.953125,25.65625
29.341868343999977,-199.953125,25.65625
29.921878622000122,-199.953125,25.625
30.495663729999933,-199.953125,25.625
31.229467285000055,-199.953125,25.59375
31.620560091000016,-199.953125,25.625
32.33126874699997,-199.953125,25.625
32.78906652499995,-199.953125,25.59375
33.159055373,-199.953125,25.65625
33.51756341000009,-199.953125,25.59375
34.22033221100014,-199.953125,25.625
34.93123936899997,-199.953125,25.59375
35.54206251300002,-199.953125,25.671875
36.19325535100006,-199.953125,25.625
36.826180539000006,-199.953125,25.65625
37.08981405999998,-199.953125,25.59375
37.394518784999946,-199.953125,25.59375
38.02405766800007,-199.953125,25.625
38.662573762999955,-199.953125,25.59375
39.45916070700014,-199.953125,25.625
39.870805935000135,-199.953125,25.65625
40.43046057600009,-199.953125,25.625
41.01019313799998,-199.953125,25.671875
41.40539139800012,-199.953125,25.65625
41.80015846100014,-199.953125,25.671875
42.586230861000104,-199.953125,25.625
42.87689748699995,-199.953125,25.65625
43.348837628999945,-199.953125,25.625
43.58807348999994,-199.953125,25.59375
44.13666019900006,-199.953125,25.59375
44.95531468000013,-199.953125,25.625
45.57396616799997,-199.953125,25.625
46.39181028999997,-199.953125,25.65625
46.819296570999995,-199.953125,25.625
47.481774490000134,-199.953125,25.625
48.0378506080001,-199.953125,25.671875
48.492652593,-199.953125,25.671875
49.05318237300003,-199.953125,25.671875
49.66666318700004,-199.953125,25.65625
50.37159779900003,-199.953125,25.625
50.930609613000115,-199.953125,25.65625
51.18564433300003,-199.953125,25.671875
51.82934388500007,-199.953125,25.671875
52.39631609100002,-199.953125,25.59375
52.89014200099996,-199.953125,25.703125
53.496553278999954,-199.953125,25.671875
53.76296496200007,-199.953125,25.671875

