# pi_control,v0.2.0
# log for:, actuator.speed
# date:, 2018_07_25_15_09_58
# meta:, 
# comment:,
time (s), speed (raw)
0.010548879999987548,0
0.2415517809999983,2048
0.9837834699999348,2048
1.4572700850001183,2048
1.9369932800000242,2048
2.487308836000011,2048
3.1242927820001114,2048
3.5889342269999815,2048
3.823434539000118,2048
4.249974540000039,2048
4.534760601000016,2048
4.760937249000108,2048
4.994532300999936,2048
5.666998532999969,2048
6.480454597000062,2048
7.068080733999977,2048
7.485495721999996,2048
8.0915319610001,2048
8.81688615400003,2048
9.625438525999925,2048
10.290141015000017,2048
10.78012343499995,2048
11.232075657999985,2048
11.493405217000145,2048
12.029626404000055,2048
12.512630114000103,2048
12.965135938000003,2048
13.582809314000087,2048
14.035802383000146,2048
14.338509187999989,2048
14.99377693700012,2048
15.682719356000007,2048
16.387307601999964,2048
16.78757257699999,2048
17.030817466000144,2048
17.67669223500002,2048
18.169628440999986,2048
18.955785916999957,2048
19.67466760100001,2048
20.435064553000075,2048
20.83367682700009,2048
21.414448009000125,2048
21.801575361000005,2048
22.19147167999995,2048
22.756322618000013,2048
23.31919532400002,2048
23.65272879200006,2048
24.05061852300014,2048
24.574396028000137,2048
24.812648366000076,2048
25.519499060000044,2048
25.94130000400014,2048
26.502423604000114,2048
27.192197492000105,2048
27.631004421999933,2048
27.976342568000064,2048
28.22512796000001,2048
28.858819625000024,2048
29.457773649000046,2048
30.038081741000042,2048
30.611378097999932,2048
31.344694777000086,2048
31.73629045000007,2048
32.452062608999995,2048
32.91085903600015,2048
33.275156254999956,2048
33.63314897800001,2048
34.33615028000008,2048
35.047601085999986,2048
35.657493551000016,2048
36.30909670400001,2048
36.941767360000085,2048
37.20732875099998,2048
37.512935093000124,2048
38.13947204100009,2048
38.77824829399992,2048
39.575911230999964,2048
39.986539269000104,2048
40.54688536999993,2048
41.125939754,2048
41.52062504500009,2048
41.91581054700009,2048
42.70226456299997,2048
42.99265160499999,2048
43.46466862200009,2048
43.70422943199992,2048
44.252389526000115,2048
45.071067653,2048
45.689513412,2048
46.50535487299999,2048
46.93494647300008,2048
47.60100955799999,2048
48.15257795599996,2048
48.60599717700006,2048
49.16646107299994,2048
49.779981887000076,2048
50.484268477000114,2048
51.04374221900002,2048
51.29922459699992,2048
51.94462634199999,2048
52.523140611000144,2048
53.003594037000084,2048
53.612101519000134,2048
53.88051284300013,2048

