# pi_control,v0.2.0
# log for:, thermocouple
# date:, 2018_07_25_15_09_28
# meta:, ambient
# comment:,
time (s), temperature (C), internal temperature (C)
0.48595787199997176,24.484375,25.09375
1.1290097839998907,24.5390625,25.140625
1.5470121999999265,24.5078125,25.140625
1.9923898869999448,24.53125,25.140625
2.7429646979999234,24.5390625,25.171875
3.0152468549999867,24.53125,25.140625
3.26617854899996,24.484375,25.109375
4.021066398999892,24.578125,25.1875
4.462200491999965,24.515625,25.109375
5.212108756999896,24.5546875,25.140625
5.765146224999853,24.5078125,25.140625
6.315896714000019,24.46875,25.09375
6.676834751999877,24.5546875,25.171875
7.385657314999889,24.53125,25.140625
7.727874793999945,24.5390625,25.140625
7.955010924999897,24.5078125,25.109375
8.735017142999823,24.46875,25.109375
9.452006924999978,24.5546875,25.140625
10.149352602999897,24.5390625,25.109375
10.38626089599984,24.5546875,25.140625
11.200464812999826,24.53125,25.140625
11.420864944999948,24.484375,25.109375
12.227405621999878,24.421875,25.0625

