# pi_control,v0.2.0
# log for:, actuator.position
# date:, 2018_07_25_15_30_35
# meta:, 
# comment:,
time (s), position (raw)
0.013203994999912538,15005
0.014413377999971999,15005
0.028942537999682827,14974
0.03871770799969454,14971
0.048297095999714657,14980
0.0583237249998092,14972
0.06876650399999562,14970
0.07847516299989366,14972
0.08851871999968353,14971
0.09914217699997607,14979
0.10886635699989711,14975
0.1192678329998671,14976
0.12960712099993543,14974
0.13939822899965293,14970
0.14979309000000285,14972
0.16005300299957526,14973
0.16976910999983374,14970
0.18037720199981777,14970
0.19039070700000593,14973
0.20013624099965455,14963
0.2103651119996357,14966
0.22016825099990456,14958
0.22986190999972678,14958
0.24010786399958306,14952
0.25005673299983755,14948
0.2597537769997871,14948
0.2700272839997524,14943
0.280056257999604,14942
0.28975350999962757,14941
0.3001641529999688,14938
0.3102092729996002,14933
0.31991631699975187,14926
0.3303921689998788,14924
0.3419999029997598,14918
0.35162163399991186,14910
0.36188524499993946,14910
0.37194463499963604,14909
0.38164313799961747,14908
0.3920366969996394,14900
0.40206520199990337,14897
0.4118124550000175,14894
0.4221759099996234,14892
0.4321945709998545,14895
0.4419252099996811,14886
0.45236934199965617,14883
0.4538257579997662,14883
0.4632864469999731,14882
0.4732184929998766,14879
0.4835809579999477,14877
0.493648421999751,14868
0.5033391639999536,14870
0.5137527749998299,14861
0.5237879469996187,14864
0.5334020739996959,14859
0.5433803179998904,14857
0.5537460649998138,14857
0.5633459209998364,14858
0.5734672389999105,14851
0.5835501189999377,14849
0.5931351839999479,14841
0.6030082709999078,14839
0.6132141729999603,14838
0.6228078309995908,14831
0.6324996669995926,14829
0.6426169739997931,14831
0.6522232369998164,14824
0.6617488219999359,14820
0.6715810229998169,14815
0.6811641079998481,14814
0.6906733910000185,14811
0.700573300999622,14812
0.7101910739997948,14813
0.7196547309999914,14806
0.7297603719998733,14803
0.739872054999978,14795
0.7495126919998256,14798
0.7598088029999417,14798
0.7699449649999224,14779
0.7795536759999777,14781
0.7894931169998927,14778
0.80194616999961,14777
0.8114015979999749,14775
0.8216833859996768,14767
0.8317029319996436,14765
0.8413011739999092,14762
0.8512979069996618,14762
0.8616055289999167,14753
0.8712210619996767,14752
0.8813867029998619,14741
0.8914098440000089,14740
0.9010767309996481,14735
0.9110956009999427,14729
0.9134829089998675,14729
0.9213477529997363,14727
0.930976358999942,14725
0.9406440279999515,14723
0.9505424279996078,14726
0.9601333779996821,14717
0.9696003169997311,14714
0.9794111119999798,14704
0.9890038849998746,14701
0.9984629059999861,14701
1.0083493789998101,14698
1.0179518919999282,14694
1.027424506999978,14691
1.037461240999619,14690
1.0474829749996388,14691
1.0570563209998909,14684
1.0673637859999872,14686
1.0773674469996877,14679
1.0869620429998577,14680
1.096905181999773,14676
1.1073313979995874,14672
1.1169628689999627,14670
1.1270842389999416,14667
1.137081441999726,14664
1.146650359999967,14662
1.1565596460000052,14651
1.1668047139996816,14649
1.176390507999713,14647
1.1860336459999417,14644
1.19590610799969,14646
1.2055101829996602,14639
1.2150610799999413,14637
1.224933177999901,14631
1.234527720999722,14632
1.2440479939996294,14632
1.253937747999771,14627
1.2635398429997622,14619
1.2730281359999935,14621
1.2831646629997522,14617
1.2932015009996576,14610
1.3027638049998131,14605
1.3131000719999975,14608
1.323093107999739,14608
1.3327603079997061,14602
1.342765166999925,14591
1.3529903399999057,14592
1.3625587889996496,14588
1.3726567219996468,14585
1.382670642999983,14578
1.3922447179998017,14578
1.4021120239999618,14577
1.4123698529997455,14574
1.4219372609995844,14572
1.4315723779996006,14570
1.44147957999985,14559
1.4510591749999548,14556
1.460595488999843,14550
1.4704235759995754,14548
1.4800321299999268,14544
1.4895157359997029,14540
1.4995486669999991,14537
1.5091701899996224,14529
1.5186432749997039,14528
1.5287809989999914,14524
1.538787680999576,14521
1.548340817999815,14520
1.5586084909996316,14512
1.5686300169995775,14510
1.5781957059998604,14505
1.5881007719999616,14503
1.5984088619998147,14502
1.6007854409999709,14502
1.6079025719996025,14494
1.6185847269998703,14495
1.6285181270000066,14491
1.6380681910000021,14484
1.6481769569995777,14485
1.658230044999982,14483
1.6678039119997266,14477
1.6777166869997018,14474
1.6879172760000074,14472
1.6975044759997218,14466
1.7071836549998807,14467
1.7170883049998338,14463
1.7266521709998415,14462
1.7361043179998887,14461
